resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,ummels,rain_over_15mm,2,161,0.17424945578063528,0.027057259757969528,0.7919431528050608
weekly,pooled,tmin_under_5°C,0,335,-0.12004307816240795,0.028028543304597087,0.7919431528050608
weekly,pooled,tmax_under_3°C,0,335,-0.11906247343258691,0.02934567602892849,0.7919431528050608
weekly,gilde,tmax_under_9°C,0,172,-0.1660169207817203,0.029514756752457714,0.7919431528050608
weekly,gilde,tmean_under_6°C,0,172,-0.16576906551211354,0.029761749106630927,0.7919431528050608
monthly,ummels,precip_over_20mm,2,40,0.33918528642674417,0.03226628665081778,0.7919431528050608
monthly,ummels,rain_over_20mm,2,40,0.33918528642674417,0.03226628665081778,0.7919431528050608
weekly,ummels,snow_over_0.5cm,0,163,-0.1659018322321497,0.03430387057857028,0.7919431528050608
monthly,gilde,precip_over_2mm,2,39,0.3389350140336322,0.03479755411682836,0.7919431528050608
weekly,gilde,precip_over_5mm,2,170,0.16160628542961591,0.03525635463178819,0.7919431528050608
monthly,ummels,tmax_under_3°C,2,40,0.33269458305742056,0.035941367788819796,0.7919431528050608
weekly,ummels,gust_over_70km/h,0,163,-0.1637831092861169,0.03670064829784017,0.7919431528050608
monthly,ummels,tmin_under_3°C,2,40,0.32987772606631083,0.03763949205199617,0.7919431528050608
monthly,ummels,tmin_under_-1°C,0,42,-0.3210493122559994,0.038164767985272074,0.7919431528050608
weekly,ummels,precip_over_10mm,2,161,0.16295498571763126,0.03888685617516395,0.7919431528050608
monthly,ummels,snow_over_5cm,2,40,0.3271694424244284,0.03933338667317999,0.7919431528050608
weekly,ummels,wind_over_30km/h,0,163,-0.16098820444243506,0.04007718426301889,0.7919431528050608
weekly,ummels,tmax_over_27°C,2,161,0.16152655754737727,0.040654669266004306,0.7919431528050608
weekly,gilde,precip_over_1mm,1,171,-0.15600303079936062,0.041596583868423576,0.7919431528050608
monthly,pooled,tmin_under_-2°C,0,83,-0.22329757045676152,0.04243951399951887,0.7919431528050608
monthly,pooled,tmin_under_2°C,2,79,0.22790319486361976,0.04338049481517303,0.7919431528050608
weekly,pooled,temp_max_c_max,0,335,0.1101877598525431,0.043865937004226654,0.7919431528050608
weekly,pooled,snow_over_0.1cm,1,333,-0.11047804965671831,0.04394392195036329,0.7919431528050608
weekly,pooled,tmax_under_3°C,2,331,0.11062623541270401,0.044301050841211734,0.7919431528050608
weekly,pooled,gust_over_70km/h,0,335,-0.10991756641757232,0.04438913757045058,0.7919431528050608
weekly,ummels,tmax_over_28°C,2,161,0.15825114236151192,0.044964280916025945,0.7919431528050608
monthly,gilde,wind_over_25km/h,1,40,-0.31811572118822207,0.04545216860512554,0.7919431528050608
weekly,ummels,gust_over_60km/h,0,163,-0.15688894971469272,0.045498969176938325,0.7919431528050608
weekly,gilde,rain_over_0.5mm,1,171,-0.15263707123480438,0.04625674321770986,0.7919431528050608
weekly,gilde,tmax_under_5°C,0,172,-0.15089055074122693,0.048176472545946175,0.7919431528050608
weekly,ummels,tmin_under_1°C,0,163,-0.1549155135391023,0.04831986185201847,0.7919431528050608
monthly,pooled,tmean_under_4°C,2,79,0.222844182290048,0.04838057918473661,0.7919431528050608
monthly,gilde,rain_over_1mm,2,39,0.31812434097816783,0.0484207267686608,0.7919431528050608
weekly,pooled,tmax_under_7°C,0,335,-0.10759321881857137,0.04911018827750314,0.7919431528050608
weekly,gilde,rain_over_1mm,1,171,-0.15022585264858662,0.04985645869177738,0.7919431528050608
weekly,pooled,tmax_over_24°C,2,331,0.10767605415871873,0.05031488893077277,0.7919431528050608
weekly,pooled,precip_over_5mm,2,331,0.10742972615447911,0.05084644749380285,0.7919431528050608
weekly,pooled,tmax_over_26°C,2,331,0.10648642344306124,0.05292551052004492,0.7919431528050608
monthly,ummels,tmax_under_9°C,2,40,0.30466180063658266,0.05594444961167437,0.7919431528050608
monthly,pooled,tmin_under_1°C,2,79,0.21564586823063184,0.05630413811687241,0.7919431528050608
weekly,pooled,wind_over_25km/h,1,333,-0.10466095433889895,0.056398386866021596,0.7919431528050608
monthly,gilde,rain_over_2mm,2,39,0.3065161575879869,0.05771188636731767,0.7919431528050608
weekly,gilde,tmax_under_3°C,2,170,0.144149404201646,0.06073517204156207,0.7919431528050608
monthly,ummels,precip_over_15mm,2,40,0.29828783509675144,0.061549449306665366,0.7919431528050608
monthly,gilde,gust_over_50km/h,1,40,-0.2976806921973136,0.06210581387139199,0.7919431528050608
monthly,gilde,gust_over_60km/h,1,40,-0.29761449182433547,0.06216671825726806,0.7919431528050608
weekly,pooled,tmax_over_22°C,2,331,0.10223899326901496,0.06318179988498987,0.7919431528050608
weekly,ummels,wind_over_25km/h,0,163,-0.14575413738706008,0.06338660317230926,0.7919431528050608
weekly,gilde,tmax_under_3°C,0,172,-0.14154518874624372,0.06400459884339339,0.7919431528050608
weekly,gilde,rain_over_2mm,1,171,-0.1416577188243799,0.06457929192113897,0.7919431528050608
weekly,ummels,gust_over_50km/h,0,163,-0.14488645104672257,0.06499394905504267,0.7919431528050608
