company,res,season,lag,split,n,r,p,impact_pct,config,factors
pooled,weekly,True,0,33,356,-0.17309652346242546,0.001040722205917583,-23.991116424138426,frost=3,{'frost': 3}
pooled,weekly,True,0,33,356,-0.11246258367503455,0.033904070013340754,-21.977194723476636,cold=2,{'cold': 2}
pooled,weekly,True,0,33,356,-0.1635908338445926,0.0019571592463131157,-23.2738536603456,cold=4,{'cold': 4}
pooled,weekly,True,0,33,356,-0.13355813829620408,0.01165512180678334,-24.757730468476915,cold=6,{'cold': 6}
pooled,weekly,True,0,33,356,-0.10489862811382085,0.047960076314423165,-12.964658212204949,cold=8,{'cold': 8}
pooled,weekly,True,0,33,356,-0.03956654145176749,0.45675188637531566,-13.86893140451665,cold=10,{'cold': 10}
pooled,weekly,True,0,33,356,0.03141858056897379,0.5546104529808076,-2.599620315706397,heat=24,{'heat': 24}
pooled,weekly,True,0,33,356,-0.0071348806681162304,0.8932848195594472,-13.437001816928918,heat=26,{'heat': 26}
pooled,weekly,True,0,33,356,0.07182249557720916,0.17633534239473594,-4.027951820461095,heat=28,{'heat': 28}
pooled,weekly,True,0,33,356,0.11115427209257234,0.036048576496435586,-13.888669173504686,heat=30,{'heat': 30}
pooled,weekly,True,0,33,356,-0.006735045357016422,0.8992323813295398,-21.135274214356812,heat=32,{'heat': 32}
pooled,weekly,True,0,33,356,-0.015170417225664149,0.775456745317929,-6.415615082581128,wind=25,{'wind': 25}
pooled,weekly,True,0,33,356,-0.04390468842910664,0.40887391119445493,-4.8633641346943035,wind=30,{'wind': 30}
pooled,weekly,True,0,33,356,-0.0384797728358904,0.4692194860462877,-13.961472060866598,wind=35,{'wind': 35}
pooled,weekly,True,0,33,356,-0.021173103564071837,0.6905321733668353,-19.429446336378454,wind=40,{'wind': 40}
pooled,weekly,True,0,33,356,0.031720436498680435,0.550811028653176,-18.911322310678138,wind=45,{'wind': 45}
pooled,weekly,True,0,33,356,0.007895579802326694,0.8819861533300308,13.024427145897688,rain=1,{'rain': 1}
pooled,weekly,True,0,33,356,-0.01803285061842085,0.734553901378724,-4.8633641346943035,rain=2,{'rain': 2}
pooled,weekly,True,0,33,356,-0.006287899148697566,0.9058903599054655,6.483934699259852,rain=3,{'rain': 3}
pooled,weekly,True,0,33,356,0.04540036631108462,0.39308270915204446,12.356698151708523,rain=5,{'rain': 5}
pooled,weekly,True,0,33,356,0.023831631871061732,0.6540546253931648,14.812124994428743,rain=8,{'rain': 8}
pooled,weekly,True,0,33,356,-0.1718379036283873,0.001133629974681702,-23.719967641681517,cold+frost,"{'frost': 0, 'cold': 5}"
pooled,weekly,True,0,33,356,-0.09679004831734099,0.06813798714952463,-14.618781081658227,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
pooled,weekly,True,0,33,356,-0.16591716666767203,0.001681943303362692,-24.102215655577762,frost+wind,"{'frost': 0, 'wind': 40}"
pooled,weekly,True,1,33,354,0.005355812204975445,0.9200161928850565,-24.086181042444665,frost=-3,{'frost': -3}
pooled,weekly,True,1,33,354,-0.03541336712664108,0.5065941199365964,-19.21047557885465,frost=-2,{'frost': -2}
pooled,weekly,True,1,33,354,-0.022855350927428596,0.6682464152755679,-19.278779141115297,frost=-1,{'frost': -1}
pooled,weekly,True,1,33,354,-0.018869770824708552,0.7234824504322073,-14.180192968952554,frost=0,{'frost': 0}
pooled,weekly,True,1,33,354,-0.04913781812292697,0.3566278921506899,-18.27475672378932,frost=1,{'frost': 1}
pooled,weekly,True,1,33,354,-0.00031716580806447184,0.9952555403261425,-18.31482270617979,frost=2,{'frost': 2}
pooled,weekly,True,1,33,354,0.013547404092645777,0.7994932149130382,-13.961472060866598,frost=3,{'frost': 3}
pooled,weekly,True,1,33,354,-0.03170409171500446,0.5521452068756829,-14.61690676527516,cold=2,{'cold': 2}
pooled,weekly,True,1,33,354,-0.04253719096923253,0.4249499807857224,-23.473215965886673,cold=4,{'cold': 4}
pooled,weekly,True,1,33,354,0.01711259376784169,0.7483193140726414,-22.67153499186828,cold=6,{'cold': 6}
pooled,weekly,True,1,33,354,0.030835321830148713,0.5630962201720222,-13.403542021301828,cold=8,{'cold': 8}
pooled,weekly,True,1,33,354,0.001736792115959333,0.9740238746128418,-14.865806010788617,cold=10,{'cold': 10}
pooled,weekly,True,1,33,354,-0.019710270777049194,0.7117022972864512,4.513403071213196,heat=24,{'heat': 24}
pooled,weekly,True,1,33,354,-0.007048407417456843,0.8948675468643192,12.088329487572768,heat=26,{'heat': 26}
pooled,weekly,True,1,33,354,0.06239028654306335,0.24165688672105318,7.789062146020909,heat=28,{'heat': 28}
pooled,weekly,True,1,33,354,0.03998279863380814,0.45330823065521064,-14.61690676527516,heat=30,{'heat': 30}
pooled,weekly,True,1,33,354,0.0700337002779338,0.18863411971572808,-22.255807901612854,heat=32,{'heat': 32}
pooled,weekly,True,1,33,354,-0.08088345168202779,0.1287825672170843,-11.81035075670761,wind=25,{'wind': 25}
pooled,weekly,True,1,33,354,-0.06068443848406327,0.2547939037630398,-7.378160491575281,wind=30,{'wind': 30}
pooled,weekly,True,1,33,354,-0.03511430148225893,0.5101924379314581,-25.101842905734106,wind=35,{'wind': 35}
pooled,weekly,True,1,33,354,-0.04702133406996793,0.37774431958663,-28.704897828948607,wind=40,{'wind': 40}
pooled,weekly,True,1,33,354,-0.052396604153086376,0.3255951865300597,-26.37016425709917,wind=45,{'wind': 45}
pooled,weekly,True,1,33,354,-0.09775400973529423,0.06619102438759768,-2.317577295233797,rain=1,{'rain': 1}
pooled,weekly,True,1,33,354,-0.08591855713705576,0.10656734311875503,-5.422663304963294,rain=2,{'rain': 2}
pooled,weekly,True,1,33,354,-0.039284509368388766,0.461241602683389,-4.3910145136203615,rain=3,{'rain': 3}
pooled,weekly,True,1,33,354,-0.03844117444656956,0.4709249932775854,-4.317220767905727,rain=5,{'rain': 5}
pooled,weekly,True,1,33,354,-0.053684200406987,0.3138308561574995,-10.527596710062282,rain=8,{'rain': 8}
pooled,weekly,True,1,33,354,0.028474197722279656,0.5933745370087042,-19.278779141115297,cold+frost,"{'frost': 0, 'cold': 5}"
pooled,weekly,True,1,33,354,-0.10567848098876947,0.04693756176159411,-13.965573572122613,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
pooled,weekly,True,1,33,354,-0.04340900159863586,0.4155127931461701,-24.382212725485132,frost+wind,"{'frost': 0, 'wind': 40}"
pooled,weekly,True,2,33,352,0.003256947933932994,0.9514479517462545,-23.912719109577928,frost=-3,{'frost': -3}
pooled,weekly,True,2,33,352,-0.02811971673638753,0.599027114026925,-15.623307605489689,frost=-2,{'frost': -2}
pooled,weekly,True,2,33,352,0.023147461290895156,0.6651614289002846,-17.70994437332719,frost=-1,{'frost': -1}
pooled,weekly,True,2,33,352,0.018036029570229067,0.7359588114345673,-8.122953233483676,frost=0,{'frost': 0}
pooled,weekly,True,2,33,352,0.027130270863585052,0.6119500429338837,-8.159851655747374,frost=1,{'frost': 1}
pooled,weekly,True,2,33,352,0.06431556398995736,0.228735953909425,-7.5027113343870795,frost=2,{'frost': 2}
pooled,weekly,True,2,33,352,0.03650287961040696,0.4948303872098006,-9.574462071035384,frost=3,{'frost': 3}
pooled,weekly,True,2,33,352,0.03831746816680451,0.47361752239979743,-16.827257387127826,cold=2,{'cold': 2}
pooled,weekly,True,2,33,352,0.038392867072829386,0.4727470025948245,-12.591005501854745,cold=4,{'cold': 4}
pooled,weekly,True,2,33,352,0.07115053792528234,0.18291188045885015,-11.907941147922996,cold=6,{'cold': 6}
pooled,weekly,True,2,33,352,0.045208769231598785,0.3977719374915048,-6.274568519893798,cold=8,{'cold': 8}
pooled,weekly,True,2,33,352,0.025087209066549022,0.6390142978849712,-4.0072468718383,cold=10,{'cold': 10}
pooled,weekly,True,2,33,352,0.11853934022885179,0.026153082019960958,-4.5391276482515845,heat=24,{'heat': 24}
pooled,weekly,True,2,33,352,0.11451291344652559,0.03172321360364916,-4.895973568740342,heat=26,{'heat': 26}
pooled,weekly,True,2,33,352,0.09994654362780434,0.06104266561289873,-11.518752689934153,heat=28,{'heat': 28}
pooled,weekly,True,2,33,352,0.028200617410629788,0.5979759565873235,-16.415889265525507,heat=30,{'heat': 30}
pooled,weekly,True,2,33,352,0.08173085547665492,0.1258895375930589,-17.62338381159393,heat=32,{'heat': 32}
pooled,weekly,True,2,33,352,-0.03890781339785353,0.46682519083380547,-12.248793720057838,wind=25,{'wind': 25}
pooled,weekly,True,2,33,352,-0.008839134581725607,0.8687470394822524,-8.791994526667079,wind=30,{'wind': 30}
pooled,weekly,True,2,33,352,0.05920230918188927,0.2679677175102217,-16.04067514229286,wind=35,{'wind': 35}
pooled,weekly,True,2,33,352,0.011169641827432207,0.8345870620339474,-19.190902359342388,wind=40,{'wind': 40}
pooled,weekly,True,2,33,352,0.01987314446815597,0.7102177071353413,-20.991620630334108,wind=45,{'wind': 45}
pooled,weekly,True,2,33,352,-0.0027107813865705132,0.9595821412339799,2.5782462635335124,rain=1,{'rain': 1}
pooled,weekly,True,2,33,352,0.024452745460770756,0.6475196039769187,-4.459813772744658,rain=2,{'rain': 2}
pooled,weekly,True,2,33,352,0.02671152029415797,0.617455994753916,4.195165829218395,rain=3,{'rain': 3}
pooled,weekly,True,2,33,352,0.05990315729393694,0.2623337958800387,12.461527360128777,rain=5,{'rain': 5}
pooled,weekly,True,2,33,352,0.043661794757375236,0.41413210235973896,-6.528219445071127,rain=8,{'rain': 8}
pooled,weekly,True,2,33,352,0.06174393424279511,0.24792620205922075,-11.292449925122384,cold+frost,"{'frost': 0, 'cold': 5}"
pooled,weekly,True,2,33,352,0.08718470195332267,0.10246423214511005,-1.466340545871414,all-bad,"{'rain': 1, 'frost': 0, 'heat': 28, 'wind': 40}"
pooled,weekly,True,2,33,352,0.03347124366618654,0.5313687803130418,-8.122953233483676,frost+wind,"{'frost': 0, 'wind': 40}"
pooled,monthly,True,0,33,83,-0.13687636378699333,0.21723704504089683,-15.793551127538274,frost=-3,{'frost': -3}
